format,model_1,model_2,winrate,variance,nb_battles,wins,losses,ties
gen1randombattle,crystal_4_00200,fire_2_00300,0.45450000,0.000247427177,1000,453,544,3
gen1randombattle,crystal_4_00200,fire_3_00300,0.46600000,0.000248592593,1000,465,533,2
gen1randombattle,crystal_4_00200,fire_4_00300,0.48850000,0.000249367117,1000,487,510,3
gen1randombattle,crystal_4_00200,fire_5_00300,0.48300000,0.000249460460,1000,482,516,2
gen1randombattle,crystal_4_00200,fire_6_00300,0.45550000,0.000247016767,1000,453,542,5
gen1randombattle,crystal_4_00200,fire_7_00300,0.44450000,0.000246416166,1000,443,554,3
gen1randombattle,crystal_4_00200,fire_8_00300,0.45600000,0.000247311311,1000,454,542,4
gen1randombattle,crystal_4_00200,fire_9_00300,0.49600000,0.000249233233,1000,494,502,4
gen1randombattle,crystal_5_00200,crystal_5_00200,0.49600000,0.000249233233,1000,494,502,4
gen1randombattle,crystal_5_00200,crystal_6_00200,0.51250000,0.000249843594,1000,512,487,1
gen1randombattle,crystal_5_00200,crystal_7_00200,0.49050000,0.000249409159,1000,489,508,3
gen1randombattle,crystal_5_00200,crystal_8_00200,0.50950000,0.000247907658,1000,505,486,9
gen1randombattle,crystal_5_00200,crystal_9_00200,0.50250000,0.000249493243,1000,501,496,3
gen1randombattle,crystal_5_00200,fire_10_00300,0.52050000,0.000249078829,1000,519,478,3
gen1randombattle,crystal_5_00200,fire_1_00300,0.49050000,0.000249909660,1000,490,509,1
gen1randombattle,crystal_6_00200,crystal_6_00200,0.51650000,0.000249727477,1000,516,483,1
gen1randombattle,crystal_6_00200,crystal_7_00200,0.48600000,0.000249553554,1000,485,513,2
gen1randombattle,crystal_6_00200,crystal_8_00200,0.49800000,0.000249745746,1000,497,501,2
gen1randombattle,crystal_6_00200,crystal_9_00200,0.49650000,0.000249487237,1000,495,502,3
gen1randombattle,crystal_7_00200,crystal_7_00200,0.49750000,0.000249993744,1000,497,502,1
gen1randombattle,crystal_7_00200,crystal_8_00200,0.53500000,0.000247522523,1000,532,462,6
gen1randombattle,crystal_7_00200,crystal_9_00200,0.51650000,0.000249226977,1000,515,482,3
gen1randombattle,crystal_8_00200,crystal_8_00200,0.50600000,0.000249213213,1000,504,492,4
gen1randombattle,crystal_8_00200,crystal_9_00200,0.51850000,0.000249156907,1000,517,480,3
